,prosocial,Friends_2,MediaExp_3,COVIDeffect_3,DemGen,quota_age,Personal_1,Trustingroups_5,GenSocTrust,FinitePool_4,COVIDeffect_4,COVIDexp,DemEdu,DemHealthcare,Ethnicmin,FinitePool_1,FinitePool_5,Friends_7,KnowledgeCert_2,Longitude_2,Longitude_3,MediaExp_5,MediaExp_7,Personal_5,Personal_7,SARS,Trustingroups_2,Trustingroups_4,Vaccine_2,Longitude_1,Vaccine_1,Soughtinfo,COVIDeffect_2,Trustingroups_3,Friends_1,MediaExp_2
2,7,7,1,4,1,2,7,5,7,7,7,2,4,2,2,7,7,7,7,7,7,1,1,7,7,2,5,5,1,7,1,2,7,5,7,1
3,3,5,1,1,2,2,4,3,3,4,1,8,3,2,2,6,5,4,4,2,3,1,1,5,5,2,5,4,1,2,1,2,1,3,4,1
4,6,2,1,5,2,3,5,2,4,3,1,3,5,2,2,4,4,3,3,6,4,1,1,3,2,2,2,3,1,5,1,1,7,2,4,1
5,4,4,1,3,1,4,4,2,5,7,1,8,5,2,2,7,7,4,3,4,2,1,1,4,5,2,4,3,1,6,1,1,7,4,4,2
6,5,5,1,1,2,3,4,1,3,5,1,3,5,2,2,7,7,2,3,1,1,2,1,5,3,2,3,3,1,4,1,1,7,3,3,1
7,6,6,2,4,1,4,5,5,5,4,5,2,3,2,2,6,5,5,4,6,5,1,2,4,5,2,5,4,1,5,1,1,4,3,6,1
8,4,3,1,6,1,3,3,1,1,4,1,8,3,2,2,5,6,2,5,6,1,2,1,5,6,2,4,3,1,7,1,1,3,3,5,2
9,6,7,1,7,1,2,5,1,2,4,1,8,4,2,2,7,7,4,3,7,7,2,1,4,4,2,1,3,1,7,1,2,7,3,4,1
10,5,5,1,3,1,3,4,3,3,5,4,3,4,2,2,4,6,4,1,4,4,1,2,5,6,2,4,2,2,4,1,1,4,2,6,2
11,7,4,1,7,1,3,4,1,4,2,7,8,1,2,2,4,6,1,2,5,2,2,2,4,5,2,3,2,1,5,2,2,7,5,1,2
12,6,5,1,5,1,3,3,3,5,4,4,9,4,2,4,5,5,5,4,5,3,1,2,4,5,1,4,4,2,6,2,1,4,3,4,2
13,5,4,2,2,2,2,4,4,4,2,2,8,4,2,2,3,7,5,2,4,5,2,2,1,5,2,4,3,2,5,2,2,4,3,6,2
14,7,6,1,5,1,4,4,2,2,6,1,9,5,2,2,5,7,4,6,4,2,1,1,6,6,2,3,3,1,5,1,1,1,2,4,1
15,7,2,1,3,2,2,2,2,4,3,6,8,9,2,1,5,5,2,4,2,1,1,1,5,2,2,2,4,1,4,1,1,3,3,2,2
16,6,2,1,2,1,6,3,4,6,4,2,8,5,2,2,5,6,2,2,3,2,2,1,2,2,2,4,3,1,4,1,1,4,4,3,1
17,5,3,1,4,1,4,5,3,4,4,4,9,5,2,2,3,6,6,5,4,5,2,1,4,4,2,4,4,2,5,1,1,5,2,4,2
18,6,3,1,4,1,4,4,3,4,4,4,8,3,2,2,4,4,3,2,4,4,1,1,4,5,2,3,3,1,4,1,2,4,4,3,1
19,1,1,1,1,2,4,1,1,4,7,1,8,3,2,2,6,7,1,4,7,7,1,1,1,1,2,2,1,1,7,1,1,6,2,1,1
