ind,caf,com,res
0.237082067,0,0,0.762917933
0.237082067,0,0,0.762917933
0.237082067,0,0,0.762917933
0.237082067,0.006296135,0,0.756621798
0.237082067,0.008467217,0,0.754450716
0.23713355,0.008469055,0.067752443,0.686862106
0.237082067,0.011723838,0.12700825,0.624185845
0.237082067,0.012809379,0.227095093,0.523013461
0.237082067,0.011723838,0.322622666,0.428571429
0.237082067,0.010638298,0.403821103,0.348458532
0.237082067,0.012809379,0.415979158,0.334129396
0.237082067,0.023447677,0.44572297,0.293747286
0.237082067,0.022362136,0.446591403,0.293964394
0.237082067,0.019105515,0.448979592,0.294832827
0.237082067,0.018019974,0.439426835,0.305471125
0.237082067,0.017151541,0.421623969,0.324142423
0.237082067,0.018019974,0.38797221,0.356925749
0.237082067,0.019105515,0.316977855,0.426834564
0.237082067,0.023447677,0.221016066,0.51845419
0.237082067,0.023447677,0.132653061,0.606817195
0.237082067,0.019105515,0.067737733,0.676074685
0.237082067,0.012809379,0,0.750108554
0.237082067,0.006296135,0,0.756621798
0.237082067,0.002171081,0,0.760746852
