PROP_ADDR,OCC_CLS,PRIM_OCC,SEC_OCC,area,bg,geometry,res,mfh,ind,com,caf,gro,type,index_right,TRACT,BLKGRP
10 HARDINVILLE ROAD,Residential,['Single Family Dwelling'],,3527.2095,9502011,POINT (5852915.025316179 3852061.852618322),True,False,False,False,False,False,res,19,950201,1
10 KENNEDY DRIVE,Residential,['Single Family Dwelling'],,1153.751,9502021,POINT (5851404.3826508075 3855780.4945368427),True,False,False,False,False,False,res,14,950202,1
10 PRESTON BRANCH,Unclassified,['Unclassified'],,791.1467,9502024,POINT (5842156.655162651 3855651.5212622136),False,False,False,True,False,False,com,17,950202,4
10 ROCKCASTLE ROAD,Unclassified,['Unclassified'],,1714.158,9502021,POINT (5847324.650090307 3855564.5213436717),False,False,False,True,False,False,com,14,950202,1
100 BILL HAMMONDS ROAD,Unclassified,['Unclassified'],,1186.718,9502021,POINT (5859541.278533956 3864717.1740108114),False,False,False,True,False,False,com,14,950202,1
100 CHARLIE MAYNARD ROAD,Residential,['Single Family Dwelling'],,1714.159,9501003,POINT (5872081.521039841 3842076.6423329893),True,False,False,False,False,False,res,1,950100,3
100 DAVELLA ROAD,Residential,['Single Family Dwelling'],,1318.589,9502024,POINT (5838809.025565769 3829356.504504606),True,False,False,False,False,False,res,17,950202,4
100 GORDON HOLLOW,Unclassified,['Unclassified'],,1977.882,9501003,POINT (5879042.38374569 3846128.8553262833),False,False,False,True,False,False,com,1,950100,3
100 HARDINVILLE ROAD,Residential,['Single Family Dwelling'],,3131.6357,9502011,POINT (5852894.268667893 3851633.9647881393),True,False,False,False,False,False,res,19,950201,1
100 KIRK PLAZA,Commercial,['Retail Trade'],,3955.735,9502024,POINT (5846792.868608884 3847069.434351505),False,False,False,True,False,False,com,17,950202,4
100 ROCKHOUSE MILLS ROAD,Residential,['Single Family Dwelling'],,3823.8810000000003,9502023,POINT (5830130.037308534 3850276.03459856),True,False,False,False,False,False,res,16,950202,3
100 ROCKY BRANCH,Residential,['Single Family Dwelling'],,2966.806,9502012,POINT (5872364.7178149605 3825483.272770696),True,False,False,False,False,False,res,18,950201,2
