caf,res,ind,com,gro,mfh
0.2,0.55,0.96,0.1,0.1,0.55
0.2,0.55,0.96,0.1,0.1,0.55
0.3,0.58,0.96,0.1,0.1,0.58
0.5,0.67,0.96,0.1,0.1,0.67
0.7,0.85,1.06,0.2,0.2,0.85
0.7,1.05,1.07,0.36,0.36,1.05
0.9,1.16,1.06,0.66,0.66,1.16
1,1.12,0.96,1.15,1.15,1.12
0.9,1.15,0.96,1.61,1.61,1.15
0.8,1.1,0.96,2,2,1.1
1,1.02,0.96,2.16,2.16,1.02
1.83,1,0.96,2.25,2.25,1
1.75,1.02,1.065,2.25,2.25,1.02
1.5,1.1,1.075,2.25,2.25,1.1
1.42,1.2,1.056,2.2,2.2,1.2
1.3,1.35,0.96,2.11,2.11,1.35
1.4,1.45,0.96,1.95,1.95,1.45
1.47,1.5,0.96,1.61,1.61,1.5
1.8,1.5,0.96,1.16,1.16,1.5
1.81,1.35,0.96,0.73,0.73,1.35
1.5,1,1.065,0.4,0.4,1
1,0.8,1.075,0.2,0.2,0.8
0.5,0.7,1.065,0.11,0.11,0.7
0.2,0.6,0.96,0.1,0.1,0.6
