,OCC_CLS,PRIM_OCC,SEC_OCC,PROP_ADDR,SQFEET,CENSUSCODE,geometry
0,Unclassified,Unclassified,,4106 PIGEON ROOST ROAD,1153.756,21159950300,"POLYGON ((-82.4403600699414 37.7365779228285, -82.440458156089 37.736572893784, -82.4404672021239 37.736684174191, -82.4403691168746 37.7366892032281, -82.4403600699414 37.7365779228285))"
1,Residential,Unclassified,,13161 RIVER FRONT ROAD,4615.042,21159950300,"POLYGON ((-82.3292027971959 37.7489400157284, -82.3294270472335 37.7488057158792, -82.3295454433913 37.7489303577963, -82.3293211933537 37.7490646588399, -82.3292027971959 37.7489400157284))"
2,Residential,Single Family Dwelling,,13139 RIVER FRONT ROAD,1582.284,21159950300,"POLYGON ((-82.3287947752073 37.7488795437133, -82.3288633669692 37.7490017768852, -82.3287607416345 37.7490380858951, -82.3286921489743 37.7489158542038, -82.3287947752073 37.7488795437133))"
3,Unclassified,Unclassified,,2584 AIRPORT ROAD,593.3557,21159950201,"POLYGON ((-82.6174658621033 37.7366629391336, -82.6173834650322 37.7366490078642, -82.6174010064347 37.7365835706462, -82.6174834026075 37.7365975019279, -82.6174658621033 37.7366629391336))"
4,Residential,Single Family Dwelling,,2211 PIGEON ROOST ROAD,1714.155,21159950300,"POLYGON ((-82.4450392235765 37.7590087992193, -82.4451316772872 37.7589580971675, -82.4452354533638 37.7590773727462, -82.4451430005514 37.759128074006, -82.4450392235765 37.7590087992193))"
5,Unclassified,Unclassified,,,988.9366,21159950300,"POLYGON ((-82.3720293190029 37.7534050047654, -82.3720043647026 37.753514744894, -82.3719214367271 37.7535028580688, -82.3719463910274 37.7533931179226, -82.3720293190029 37.7534050047654))"
6,Residential,Single Family Dwelling,,13131 RIVER FRONT ROAD,1582.288,21159950300,"POLYGON ((-82.3288657052838 37.7492552626687, -82.3289182504398 37.7493341168116, -82.3287692882061 37.7493967022912, -82.3287167421519 37.749317848215, -82.3288657052838 37.7492552626687))"
7,Residential,Single Family Dwelling,,13139 RIVER FRONT ROAD,1648.224,21159950300,"POLYGON ((-82.3290086326354 37.74921483831, -82.3291343428763 37.7491651189894, -82.3291969590449 37.7492649368952, -82.3290712479057 37.7493146561488, -82.3290086326354 37.74921483831))"
8,Residential,Unclassified,,4106 PIGEON ROOST ROAD,3131.621,21159950300,"POLYGON ((-82.4403079838246 37.7369921802311, -82.4402940626326 37.7367805960943, -82.4404342860552 37.736774777792, -82.4404482072472 37.736986361235, -82.4403079838246 37.7369921802311))"
9,Unclassified,Unclassified,,2584 AIRPORT ROAD,12460.57,21159950201,"POLYGON ((-82.6169375772577 37.7367665540222, -82.6170068319763 37.7367574223403, -82.6170436287669 37.736933421918, -82.6166280959643 37.7369882139931, -82.6165706028877 37.7367132138734, -82.6167091132231 37.7366949497851, -82.6166976147875 37.7366399493408, -82.6168222739994 37.7366235117163, -82.6168314718496 37.7366675120847, -82.6169145785898 37.7366565539096, -82.6169375772577 37.7367665540222))"
10,Unclassified,Unclassified,,2960 AIRPORT ROAD,4219.456,21159950201,"POLYGON ((-82.6428268854055 37.7491932708772, -82.6426023838396 37.7491860059666, -82.6426115349774 37.7490077462303, -82.6428360338484 37.7490150111584, -82.6428268854055 37.7491932708772))"
11,Residential,Single Family Dwelling,,6335 MEATHOUSE ROAD,4351.339,21159950300,"POLYGON ((-82.4971357240067 37.7362665881667, -82.4971181287052 37.736144724694, -82.4974529209301 37.7361142362386, -82.4974705171299 37.7362360990511, -82.4971357240067 37.7362665881667))"
12,Residential,Manufactured Home,,,593.36,21159950300,"POLYGON ((-82.4404198806713 37.7361055641192, -82.4404297046473 37.736239151018, -82.4403876527122 37.7362411018329, -82.4403778287363 37.7361075149377, -82.4404198806713 37.7361055641192))"
13,Commercial,Retail Trade,,,2769.014,21159950300,"POLYGON ((-82.476993558569 37.75882848012, -82.4771075682532 37.7589270343225, -82.4769627418631 37.7590326343064, -82.4768487348738 37.7589340788241, -82.476993558569 37.75882848012))"
14,Unclassified,Unclassified,,2584 AIRPORT ROAD,1384.512,21159950201,"POLYGON ((-82.6171504258778 37.7361599220292, -82.6170663345841 37.7361639486973, -82.6170545037718 37.736008123301, -82.6171385941672 37.736004095914, -82.6171504258778 37.7361599220292))"
