PROP_ADDR,OCC_CLS,PRIM_OCC,SEC_OCC,SQFEET,CENSUSCODE,geometry
10 HARDINVILLE ROAD,Residential,Single Family Dwelling,,3527.2095,21159950201,POINT (5852915.025316179 3852061.852618322)
10 KENNEDY DRIVE,Residential,Single Family Dwelling,,1153.751,21159950202,POINT (5851404.3826508075 3855780.4945368427)
10 PRESTON BRANCH,Unclassified,Unclassified,,791.1467,21159950202,POINT (5842156.655162651 3855651.5212622136)
10 ROCKCASTLE ROAD,Unclassified,Unclassified,,1714.158,21159950202,POINT (5847324.650090307 3855564.5213436717)
100 BILL HAMMONDS ROAD,Unclassified,Unclassified,,1186.718,21159950202,POINT (5859541.278533956 3864717.1740108114)
100 CHARLIE MAYNARD ROAD,Residential,Single Family Dwelling,,1714.159,21159950100,POINT (5872081.521039841 3842076.6423329893)
100 DAVELLA ROAD,Residential,Single Family Dwelling,,1318.589,21159950202,POINT (5838809.025565769 3829356.504504606)
100 GORDON HOLLOW,Unclassified,Unclassified,,1977.882,21159950100,POINT (5879042.38374569 3846128.8553262833)
100 HARDINVILLE ROAD,Residential,Single Family Dwelling,,3131.6357,21159950201,POINT (5852894.268667893 3851633.9647881393)
100 KIRK PLAZA,Commercial,Retail Trade,,3955.735,21159950202,POINT (5846792.868608884 3847069.434351505)
100 ROCKHOUSE MILLS ROAD,Residential,Single Family Dwelling,,3823.8810000000003,21159950202,POINT (5830130.037308534 3850276.03459856)
100 ROCKY BRANCH,Residential,Single Family Dwelling,,2966.806,21159950201,POINT (5872364.7178149605 3825483.272770696)
100 STEPP BOTTOM,Residential,Unclassified,,2637.169,21159950201,POINT (5853359.612106801 3849228.6876921253)
100 VIRGIL MOORE ROAD,Residential,Single Family Dwelling,,1186.727,21159950202,POINT (5855849.960141928 3881965.882065091)
100 WARD TRAILER PARK ROAD,Residential,Unclassified,,1780.094,21159950100,POINT (5881089.586220769 3863193.1139298496)
100 WENDY STREET,Residential,Manufactured Home,,1582.303,21159950100,POINT (5876602.80038587 3867476.2007745295)
100 WILDFLOWER DRIVE,Residential,Single Family Dwelling,,3757.95,21159950202,POINT (5846756.133949662 3851808.008219757)
1000 WEST MAIN STREET,Unclassified,Unclassified,,527.4245,21159950202,POINT (5844226.292408445 3856646.4127423223)
1003 SPENCE BRANCH,Unclassified,Unclassified,,3296.4476999999997,21159950202,POINT (5833528.492903522 3877210.777067388)
10032 MEATHOUSE ROAD,Residential,Single Family Dwelling,,2571.232,21159950201,POINT (5858374.573278831 3793365.2195797744)
10046 MEATHOUSE ROAD,Residential,Single Family Dwelling,,3032.754,21159950201,POINT (5858427.595115131 3793236.4144117422)
1005 PETER CAVE BRANCH,Residential,Single Family Dwelling,,1813.0497,21159950202,POINT (5852707.045829477 3876117.855052659)
1006 CRUM BRANCH,Residential,Single Family Dwelling,,3032.7295,21159950201,POINT (5846857.660672566 3836594.601510103)
1006 WHITE OAK ROAD,Residential,Single Family Dwelling,,3362.4019000000003,21159950300,POINT (5882699.369739366 3822459.622552807)
10065 YELLOW CREEK,Residential,Single Family Dwelling,,1450.423,21159950202,POINT (5860351.053386026 3881907.804282366)
1009 LITTLE BLACKLOG ROAD,Residential,Manufactured Home,,2142.688,21159950100,POINT (5858926.942515327 3853402.7989262114)
101 CARDINAL ESTATE,Residential,Single Family Dwelling,,3626.118,21159950201,POINT (5857271.086842645 3844392.821135398)
101 EDEN LANE,Unclassified,Unclassified,,1384.503,21159950202,POINT (5838444.7766993325 3867567.917474429)
101 EVANS FARM ROAD,Residential,Single Family Dwelling,,8438.9048,21159950100,POINT (5881846.473350763 3834093.1483472115)
101 MIDDLE FORK DAVIS BRANCH,Residential,Manufactured Home,,1977.885,21159950202,POINT (5841272.2131287735 3840312.324770655)
101 RALPH MOORE LANE,Residential,Manufactured Home,,2637.147,21159950201,POINT (5868259.586522495 3831092.691333459)
101 RUSSELL GOBLE LANE,Residential,Manufactured Home,,4450.2285,21159950202,POINT (5831463.429463712 3826557.89375665)
101 SPRUCE PINE ROAD,Residential,Single Family Dwelling,,2241.595,21159950100,POINT (5859633.066633669 3862815.210036549)
101 TIPPLE ROAD,Residential,Unclassified,,3626.085,21159950100,POINT (5880361.613135246 3847024.661052807)
1010 CALF CREEK,Residential,Single Family Dwelling,,2769.02,21159950202,POINT (5857645.448939932 3872177.90605561)
1010 WEST MAIN STREET,Unclassified,Unclassified,,593.3592,21159950202,POINT (5843781.349764172 3856784.565846423)
1013 POPLAR FORK,Residential,Single Family Dwelling,,3461.288,21159950100,POINT (5871572.862032417 3847354.368805968)
1014 WEST MAIN STREET,Unclassified,Unclassified,,9493.751,21159950202,POINT (5843628.181991159 3857061.7643607566)
1016 WHITE OAK ROAD,Residential,Single Family Dwelling,,395.5715,21159950300,POINT (5882902.095099808 3822291.9779394562)
1017 LITTLE PETER CAVE ROAD,Residential,Single Family Dwelling,,4598.5524000000005,21159950100,POINT (5876322.7076597195 3837667.7811801764)
1017 UNION ROAD,Residential,Single Family Dwelling,,1780.089,21159950202,POINT (5856170.458370296 3866001.3395317025)
102 ABBS LANE,Residential,Single Family Dwelling,,1846.008,21159950202,POINT (5842723.941434564 3869782.6519332635)
102 ALEXS PLACE,Residential,Manufactured Home,,1252.665,21159950202,POINT (5831090.119396518 3855998.772127605)
102 ALLEY LANE,Residential,Single Family Dwelling,,2801.991,21159950100,POINT (5875629.146281645 3867270.461916129)
102 AYSCUE HOLLOW,Unclassified,Unclassified,,1845.994,21159950202,POINT (5831758.901789433 3839333.666425302)
102 COLLINS CREEK,Residential,Single Family Dwelling,,2571.219,21159950100,POINT (5884505.734314438 3847232.003237323)
102 HALE DRIVE,Residential,Unclassified,,1977.862,21159950300,POINT (5876815.636291049 3818295.7526052035)
10205 MEATHOUSE ROAD,Residential,Single Family Dwelling,,988.9235,21159950300,POINT (5859241.780670791 3792300.0831467905)
1021 HONEY BRANCH INDUSTRIAL PARK,Commercial,Retail Trade,,50336.77,21159950201,POINT (5821359.067749871 3817575.4471617914)
1021 VENTERS BRANCH,Unclassified,Unclassified,,2966.8072,21159950201,POINT (5845647.665508499 3834095.2469704384)
10210 MEATHOUSE ROAD,Unclassified,Unclassified,,791.1387,21159950201,POINT (5858858.605335697 3792599.4497889318)
1023 DAVELLA ROAD,Residential,Single Family Dwelling,,3065.685,21159950202,POINT (5834810.880028386 3828168.528298823)
