,OCC_CLS,PRIM_OCC,SEC_OCC,PROP_ADDR,SQFEET,CENSUSCODE,geometry
1,Residential,Single Family Dwelling,,2648 PIGEON ROOST ROAD,576.8805,21159950300,POINT (5876252.830988664 3814805.3238648176)
3,Unclassified,Unclassified,,7776 MIDDLE FORK WOLF CREEK,494.4637,21159950201,POINT (5849361.020441636 3809141.8944165865)
4,Residential,Single Family Dwelling,,13212 RIVER FRONT ROAD,593.3665,21159950300,POINT (5909629.752950019 3814546.049967937)
5,Residential,Single Family Dwelling,,13131 RIVER FRONT ROAD,1582.288,21159950300,POINT (5910143.68023014 3814545.486569097)
6,Residential,Single Family Dwelling,,13139 RIVER FRONT ROAD,1648.224,21159950300,POINT (5910062.4002404865 3814511.136398681)
7,Residential,Unclassified,,4106 PIGEON ROOST ROAD,3131.621,21159950300,POINT (5878073.458080748 3808855.04993252)
8,Unclassified,Unclassified,,2584 AIRPORT ROAD,12460.57,21159950201,POINT (5827089.013292358 3807070.8680538395)
9,Unclassified,Unclassified,,2960 AIRPORT ROAD,4219.456,21159950201,POINT (5819448.27055137 3811289.6715842867)
10,Residential,Single Family Dwelling,,13139 RIVER FRONT ROAD,791.1507,21159950300,POINT (5910093.269716898 3814461.713898501)
11,Residential,Single Family Dwelling,,1244 BIG PETER CAVE ROAD,1878.993,21159950300,POINT (5870895.833369157 3816738.582054077)
13,Residential,Manufactured Home,,13059 RIVER FRONT ROAD,890.027,21159950300,POINT (5910476.208895759 3814702.1714540846)
15,Residential,Manufactured Home,,13059 RIVER FRONT ROAD,3032.724,21159950300,POINT (5910404.772715766 3814673.3217822867)
16,Unclassified,Unclassified,,2969 AIRPORT ROAD,3807.406,21159950201,POINT (5819406.339294062 3811442.3634244953)
17,Unclassified,Unclassified,,2943 PIGEON ROOST ROAD,890.0488,21159950300,POINT (5876783.68837176 3813452.9358521025)
19,Unclassified,Unclassified,,2960 AIRPORT ROAD,2571.234,21159950201,POINT (5819551.949569683 3811434.218021515)
20,Residential,Single Family Dwelling,,13212 RIVER FRONT ROAD,1977.863,21159950300,POINT (5909584.399748675 3814595.043652496)
22,Residential,Manufactured Home,,19 FRANCIS COURT,1813.055,21159950300,POINT (5909368.788710324 3813389.560524931)
23,Residential,Single Family Dwelling,,4372 PIGEON ROOST ROAD,1977.868,21159950300,POINT (5878267.992195767 3807416.4335256615)
24,Unclassified,Unclassified,,7772 MIDDLE FORK WOLF CREEK,9493.759,21159950201,POINT (5851110.272056671 3806372.507681514)
25,Residential,Manufactured Home,,31 FRANCIS COURT,1384.498,21159950300,POINT (5909409.771507272 3813380.213506141)
26,Residential,Single Family Dwelling,,3240 PIGEON ROOST ROAD,1846.023,21159950300,POINT (5875664.091000952 3812146.259911817)
28,Unclassified,Unclassified,,7776 MIDDLE FORK WOLF CREEK,1961.396,21159950201,POINT (5849821.460961238 3809229.6430133665)
29,Unclassified,Unclassified,,8008 MEATHOUSE ROAD,2653.62,21159950201,POINT (5859791.735337222 3801742.0538264164)
30,Agriculture,Agriculture,,2204 PIGEON ROOST ROAD,593.3628,21159950300,POINT (5876158.316127717 3816926.1083357697)
32,Unclassified,Unclassified,,8261 MIDDLE FORK WOLF CREEK,1318.572,21159950201,POINT (5855417.686983416 3808005.904150261)
34,Unclassified,Unclassified,,1178 BIG PETER CAVE ROAD,1285.63,21159950300,POINT (5871345.099165799 3816724.193294109)
35,Agriculture,Agriculture,,2204 PIGEON ROOST ROAD,461.5093,21159950300,POINT (5876163.09286212 3816890.032284627)
36,Unclassified,Unclassified,,4106 PIGEON ROOST ROAD,1153.756,21159950300,POINT (5878064.434904589 3808762.759260055)
37,Residential,Unclassified,,13161 RIVER FRONT ROAD,4615.042,21159950300,POINT (5909988.074518208 3814397.3911704137)
38,Residential,Single Family Dwelling,,13139 RIVER FRONT ROAD,1582.284,21159950300,POINT (5910160.061506903 3814412.307527011)
39,Unclassified,Unclassified,,2584 AIRPORT ROAD,593.3557,21159950201,POINT (5826907.176916854 3806993.480461121)
40,Residential,Single Family Dwelling,,2211 PIGEON ROOST ROAD,1714.155,21159950300,POINT (5876410.432810892 3816869.728476476)
42,Residential,Single Family Dwelling,,8676 MEATHOUSE ROAD,2109.713,21159950201,POINT (5860610.089459075 3798554.552639601)
44,Unclassified,Unclassified,,7776 MIDDLE FORK WOLF CREEK,3444.792,21159950201,POINT (5850249.677377345 3809046.235393504)
45,Unclassified,Unclassified,,7776 MIDDLE FORK WOLF CREEK,7515.902,21159950201,POINT (5849798.59372956 3808944.9525526334)
46,Residential,Single Family Dwelling,,43 ENTERPRISE DRIVE,9065.225,21159950201,POINT (5816093.291261473 3812497.0225560637)
47,Unclassified,Unclassified,,2584 AIRPORT ROAD,1483.413,21159950201,POINT (5826915.243945903 3806936.593048024)
49,Residential,Single Family Dwelling,,36 RUNYON DRIVE,1483.399,21159950300,POINT (5909411.750627031 3814291.3829381065)
50,Agriculture,Agriculture,,2204 PIGEON ROOST ROAD,1977.863,21159950300,POINT (5876190.037707523 3816843.4796398394)
51,Residential,Single Family Dwelling,,5146 SOUTH WOLF CREEK,2307.507,21159950201,POINT (5862126.863079278 3812557.650905518)
53,Residential,Single Family Dwelling,,1224 BIG PETER CAVE ROAD,1582.306,21159950300,POINT (5871079.852669623 3816668.2680663075)
54,Unclassified,Unclassified,,2584 AIRPORT ROAD,3296.457,21159950201,POINT (5826945.905508306 3806880.648561969)
55,Residential,Single Family Dwelling,,6335 MEATHOUSE ROAD,4351.339,21159950300,POINT (5861632.313770056 3808024.2350927084)
58,Unclassified,Unclassified,,2584 AIRPORT ROAD,1384.512,21159950201,POINT (5827009.4177220315 3806800.462750728)
59,Residential,Single Family Dwelling,,5146 SOUTH WOLF CREEK,890.0494,21159950201,POINT (5862068.0528785875 3812522.15377172)
60,Residential,Single Family Dwelling,,4298 SOUTH WOLF CREEK,1977.87,21159950201,POINT (5861652.761800627 3816299.8810075945)
62,Unclassified,Unclassified,,6056 MEATHOUSE ROAD,1483.386,21159950201,POINT (5860894.983577353 3807924.398279898)
63,Residential,Single Family Dwelling,,5162 SOUTH WOLF CREEK,5109.481,21159950201,POINT (5861963.943499761 3812461.8984704125)
64,Residential,Single Family Dwelling,,6348 MEATHOUSE ROAD,1846.01,21159950201,POINT (5861273.439136186 3807891.890688167)
66,Residential,Single Family Dwelling,,2700 PIGEON ROOST ROAD,3461.271,21159950300,POINT (5876378.533839214 3814547.2841943875)
68,Residential,Single Family Dwelling,,81 ENTERPRISE DRIVE,10927.75,21159950201,POINT (5815944.387571091 3812419.6196397175)
69,Residential,Single Family Dwelling,,802 CANEY FORK,1648.237,21159950300,POINT (5881431.470816398 3802052.4599590446)
70,Residential,Single Family Dwelling,,1231 BIG PETER CAVE ROAD,2307.517,21159950300,POINT (5871004.626451289 3816603.4986546845)
71,Unclassified,Unclassified,,2960 AIRPORT ROAD,14768.07,21159950201,POINT (5819728.412339545 3810948.4240109785)
72,Residential,Single Family Dwelling,,4298 SOUTH WOLF CREEK,824.1061,21159950201,POINT (5861718.931778391 3816287.7873320705)
73,Residential,Unclassified,,13245 RIVER FRONT ROAD,1054.863,21159950300,POINT (5909785.877104731 3814136.929141717)
74,Unclassified,Unclassified,,2584 AIRPORT ROAD,1384.513,21159950201,POINT (5827413.959340107 3806691.972517458)
75,Residential,Single Family Dwelling,,4126 PIGEON ROOST ROAD,3296.464,21159950300,POINT (5878140.04219602 3808412.4454393885)
76,Unclassified,Unclassified,,10531 MEATHOUSE ROAD,890.037,21159950300,POINT (5858391.904798715 3791098.261207816)
77,Unclassified,Unclassified,,10531 MEATHOUSE ROAD,988.9284,21159950300,POINT (5858475.284913946 3791091.2210185374)
78,Unclassified,Unclassified,,10559 MEATHOUSE ROAD,659.2769,21159950300,POINT (5858272.932446311 3790997.588019007)
79,Residential,Single Family Dwelling,,4292 PIGEON ROOST ROAD,1582.276,21159950300,POINT (5878278.198500019 3807512.205276162)
