geoid,name,B19001001,"B19001001, Error",B19001002,"B19001002, Error",B19001003,"B19001003, Error",B19001004,"B19001004, Error",B19001005,"B19001005, Error",B19001006,"B19001006, Error",B19001007,"B19001007, Error",B19001008,"B19001008, Error",B19001009,"B19001009, Error",B19001010,"B19001010, Error",B19001011,"B19001011, Error",B19001012,"B19001012, Error",B19001013,"B19001013, Error",B19001014,"B19001014, Error",B19001015,"B19001015, Error",B19001016,"B19001016, Error",B19001017,"B19001017, Error"
01000US,United States,127482864,208633,6214601,26414,4531954,20357,3984613,16995,4386074,17832,4377379,16375,4349182,18674,4453830,19351,4455770,20690,4398710,18047,8419282,23409,11657731,28742,16202717,39481,12824682,44195,9373595,41366,11843136,53030,16009609,81051
04000US21,Kentucky,1791991,5353,107781,2878,96683,2451,74885,2385,78053,2035,78060,2300,75323,2187,75866,2218,74634,2335,72729,1855,129216,2782,176470,3158,230374,4203,169231,3436,113471,2686,119360,2863,119855,2344
05000US21159,"Martin County, KY",3935,229,510,184,471,175,138,102,205,97,261,143,163,85,83,62,100,68,275,157,205,96,334,130,263,130,405,160,217,119,52,50,253,161
15000US211599501001,"BG 1, Tract 9501, Martin, KY",398,130,120,99,141,90,0,13,0,13,12,21,34,39,0,13,0,13,57,54,1,2,11,19,0,13,20,31,2,4,0,13,0,13
15000US211599501002,"BG 2, Tract 9501, Martin, KY",214,101,21,36,16,25,0,13,26,31,0,13,0,13,7,12,0,13,0,13,26,29,23,36,0,13,68,68,0,13,0,13,27,38
15000US211599501003,"BG 3, Tract 9501, Martin, KY",676,161,125,81,48,52,3,6,31,39,6,13,16,24,9,18,15,30,104,124,20,23,21,19,82,89,33,36,25,36,3,11,135,117
15000US211599502011,"BG 1, Tract 9502.01, Martin, KY",380,107,42,40,15,18,1,4,16,26,59,64,0,13,7,13,2,4,37,35,0,13,40,50,0,13,113,90,25,35,0,13,23,38
15000US211599502012,"BG 2, Tract 9502.01, Martin, KY",499,165,38,52,85,82,24,41,12,20,61,87,51,60,0,13,20,29,0,13,61,75,48,50,13,18,32,38,33,51,21,32,0,13
15000US211599502021,"BG 1, Tract 9502.02, Martin, KY",529,140,59,45,41,37,0,13,60,46,6,14,0,13,38,54,0,13,13,19,16,28,147,101,3,5,50,52,0,13,28,41,68,89
15000US211599502022,"BG 2, Tract 9502.02, Martin, KY",438,138,0,13,82,84,30,49,15,20,6,10,17,28,0,13,0,13,59,57,20,31,0,13,137,88,0,13,72,94,0,13,0,13
15000US211599502023,"BG 3, Tract 9502.02, Martin, KY",163,93,20,31,0,13,68,77,0,13,9,15,0,13,9,17,0,13,0,13,0,13,6,15,12,21,39,45,0,13,0,13,0,13
15000US211599502024,"BG 4, Tract 9502.02, Martin, KY",251,110,63,82,23,23,1,2,23,28,3,7,24,24,7,12,38,55,0,13,23,25,0,13,0,13,37,51,9,15,0,13,0,13
15000US211599503001,"BG 1, Tract 9503, Martin, KY",387,117,22,27,20,22,11,14,22,29,99,101,21,27,6,10,25,39,5,9,38,35,38,31,16,18,13,22,51,42,0,13,0,13
