geoid,name,B25003001,"B25003001, Error",Owner Occupied,"B25003002, Error",Renter Occupied,"B25003003, Error"
01000US,United States,127482864,208633,82892040,360266,44590828,156282
04000US21,Kentucky,1791991,5353,1223574,8238,568417,5257
05000US21159,"Martin County, KY",3935,229,3154,211,781,191
15000US211599501001,"BG 1, Tract 9501, Martin, KY",398,130,145,73,253,114
15000US211599501002,"BG 2, Tract 9501, Martin, KY",214,101,214,101,0,13
15000US211599501003,"BG 3, Tract 9501, Martin, KY",676,161,552,158,124,67
15000US211599502011,"BG 1, Tract 9502.01, Martin, KY",380,107,265,107,115,69
15000US211599502012,"BG 2, Tract 9502.01, Martin, KY",499,165,499,165,0,13
15000US211599502021,"BG 1, Tract 9502.02, Martin, KY",529,140,441,135,88,49
15000US211599502022,"BG 2, Tract 9502.02, Martin, KY",438,138,376,150,62,75
15000US211599502023,"BG 3, Tract 9502.02, Martin, KY",163,93,143,86,20,31
15000US211599502024,"BG 4, Tract 9502.02, Martin, KY",251,110,190,77,61,81
15000US211599503001,"BG 1, Tract 9503, Martin, KY",387,117,329,109,58,48
,,,,,,,
,,398,,0.364321608,,0.635678392,
,,214,,1,,0,
,,676,,0.816568047,,0.183431953,
,,380,,0.697368421,,0.302631579,
,,499,,1,,0,
,,529,,0.833648393,,0.166351607,
,,438,,0.858447489,,0.141552511,
,,163,,0.877300613,,0.122699387,
,,251,,0.756972112,,0.243027888,
,,387,,0.850129199,,0.149870801,
