"","FinitePool_1","MediaExp_5","DemEdu","DemHealthcare","MediaExp_7","Longitude_3","Personal_7","MediaExp_3","Trustingroups_5","Personal_5","Ethnicmin","FinitePool_4","SARS","KnowledgeCert_2","Trustingroups_2","DemGen","COVIDexp","Longitude_2","quota_age","FinitePool_5","Trustingroups_4","Friends_7","Vaccine_2","COVIDeffect_4"
"2","7","1","4","2","1","7","7","1","5","7","2","7","2","7","5","1","2","7","2","7","5","7","1","7"
"3","6","1","3","2","1","3","5","1","3","5","2","4","2","4","5","2","8","2","2","5","4","4","1","1"
"4","4","1","5","2","1","4","2","1","2","3","2","3","2","3","2","2","3","6","3","4","3","3","1","1"
"5","7","1","5","2","1","2","5","1","2","4","2","7","2","3","4","1","8","4","4","7","3","4","1","1"
"6","7","2","5","2","1","1","3","1","1","5","2","5","2","3","3","2","3","1","3","7","3","2","1","1"
"7","6","1","3","2","2","5","5","2","5","4","2","4","2","4","5","1","2","6","4","5","4","5","1","5"
"8","5","2","3","2","1","1","6","1","1","5","2","4","2","5","4","1","8","6","3","6","3","2","1","1"
"9","7","2","4","2","1","7","4","1","1","4","2","4","2","3","1","1","8","7","2","7","3","4","1","1"
"10","4","1","4","2","2","4","6","1","3","5","2","5","2","1","4","1","3","4","3","6","2","4","2","4"
"11","4","2","1","2","2","2","5","1","1","4","2","2","2","2","3","1","8","5","3","6","2","1","1","7"
"12","5","1","4","2","2","3","5","1","3","4","4","4","1","4","4","1","9","5","3","5","4","5","2","4"
"13","3","2","4","2","2","5","5","2","4","1","2","2","2","2","4","2","8","4","2","7","3","5","2","2"
"14","5","1","5","2","1","2","6","1","2","6","2","6","2","6","3","1","9","4","4","7","3","4","1","1"
"15","5","1","9","2","1","1","2","1","2","5","1","3","2","4","2","2","8","2","2","5","4","2","1","6"
"16","5","2","5","2","1","2","2","1","4","2","2","4","2","2","4","1","8","3","6","6","3","2","1","2"
"17","3","2","5","2","1","5","4","1","3","4","2","4","2","5","4","1","9","4","4","6","4","6","2","4"
"18","4","1","3","2","1","4","5","1","3","4","2","4","2","2","3","1","8","4","4","4","3","3","1","4"
"19","6","1","3","2","1","7","1","1","1","1","2","7","2","4","2","2","8","7","4","7","1","1","1","1"
"20","5","1","3","2","1","6","1","1","1","1","2","5","2","6","2","2","8","7","4","7","1","5","1","7"
"21","7","1","3","2","2","1","1","1","1","1","2","7","2","5","4","2","8","4","4","5","1","1","1","1"
"22","7","2","5","2","1","5","4","1","3","6","2","1","2","4","5","1","8","7","6","7","4","4","1","1"
"23","6","2","5","2","2","2","3","1","1","4","2","2","2","3","3","2","8","4","3","7","3","2","1","1"
"24","7","2","3","2","2","5","5","1","1","5","2","7","2","4","4","2","9","7","5","7","3","5","1","1"
"25","5","2","5","2","1","2","4","2","2","7","2","4","2","3","3","2","9","3","3","7","4","4","1","1"
"26","7","1","5","2","1","1","3","1","3","7","2","3","2","7","4","2","8","3","4","7","4","3","1","1"
