indust.,rest.,comm.,resident,sum,,,,
1092,0,0,3514,4606,,,,
1092,0,0,3514,4606,,,,
1092,0,0,3514,4606,,,,
1092,29,0,3485,4606,,,,
1092,39,0,3475,4606,,,,
1092,39,312,3163,4605,,,,
1092,54,585,2875,4606,,,,
1092,59,1046,2409,4606,,,,
1092,54,1486,1974,4606,,,,
1092,49,1860,1605,4606,,,,
1092,59,1916,1539,4606,,,,
1092,108,2053,1353,4606,,,,
1092,103,2057,1354,4606,,,,
1092,88,2068,1358,4606,,,,
1092,83,2024,1407,4606,,,,
1092,79,1942,1493,4606,,,,
1092,83,1787,1644,4606,,,,
1092,88,1460,1966,4606,,,,
1092,108,1018,2388,4606,,,,
1092,108,611,2795,4606,,,,
1092,88,312,3114,4606,,,,
1092,59,0,3455,4606,,,,
1092,29,0,3485,4606,,,,
1092,10,0,3504,4606,,,,
