"","risk_perception_r","Longitude_1","Personal_4","Trustingroups_7","Friends_3","MediaExp_1","MediaExp_2","MediaExp_3","COVIDexp","DemHealthcare","Ethnicmin","Govresponse_7","Govresponse_8","COVIDeffect_4","work_from_home"
"2","6","7","7","4","6","1","1","1","2","2","2","7","7","7","1"
"3","3","2","4","4","4","1","1","1","8","2","2","4","4","1","1"
"4","5","5","5","4","2","1","1","1","3","2","2","4","4","1","2"
"5","4","6","4","5","4","1","2","1","8","2","2","6","5","1","2"
"6","6","4","6","4","1","1","1","1","3","2","2","7","7","1","2"
"7","5","5","5","4","6","1","1","2","2","2","2","5","7","5","1"
"8","4","7","5","4","1","2","2","1","8","2","2","5","5","1","1"
"9","6","7","6","5","4","1","1","1","8","2","2","7","6","1","2"
"10","5","4","5","3","4","1","2","1","3","2","2","5","5","4","1"
"11","3","5","4","5","1","2","2","1","8","2","2","7","7","7","1"
"12","5","6","4","5","5","1","2","1","9","2","4","4","4","4","2"
"13","4","5","3","3","3","1","2","2","8","2","2","3","2","2","1"
"14","5","5","4","4","4","1","1","1","9","2","2","7","3","1","2"
"15","5","4","4","5","2","1","2","1","8","2","1","7","6","6","2"
"16","4","4","3","4","2","1","1","1","8","2","2","5","6","2","1"
"17","4","5","3","3","3","1","2","1","9","2","2","5","4","4","1"
"18","4","4","4","5","2","1","1","1","8","2","2","4","4","4","2"
"19","4","7","1","5","1","1","1","1","8","2","2","5","5","1","1"
"20","6","7","2","4","2","2","2","1","8","2","2","1","1","7","2"
"21","4","5","1","5","2","2","2","1","8","2","2","6","5","1","2"
"22","5","7","5","5","6","1","2","1","8","2","2","7","7","1","1"
"23","6","7","7","3","3","1","1","1","8","2","2","3","4","1","2"
"24","5","7","4","5","4","2","1","1","9","2","2","6","5","1","1"
"25","5","3","6","4","5","1","1","2","9","2","2","7","5","1","2"
"26","6","7","7","5","3","2","1","1","8","2","2","6","7","1","1"
"27","5","5","5","4","6","1","2","1","8","2","2","5","5","4","1"
"28","6","7","2","5","1","1","1","1","2","2","2","7","7","4","2"
"29","5","6","4","4","4","2","2","1","8","2","2","5","5","1","2"
"30","4","2","2","4","2","1","1","1","8","2","2","7","7","1","2"
"31","6","6","4","3","4","1","1","1","8","2","2","7","7","1","2"
"32","4","6","5","5","4","1","1","1","8","2","2","6","6","1","1"
"33","5","6","4","4","1","1","2","2","4","2","2","4","3","7","2"
"34","4","5","5","5","4","2","2","2","8","2","1","4","5","2","1"
"35","5","5","2","4","2","2","1","1","8","2","2","6","6","1","2"
"36","5","5","6","5","4","1","1","1","9","2","2","6","6","2","2"
"37","6","6","4","4","4","2","2","1","8","2","2","5","5","1","1"
"38","4","5","5","2","3","1","2","1","8","2","2","7","6","1","2"
"39","7","6","7","3","4","1","1","1","2","2","1","2","1","7","2"
"40","3","2","4","4","3","1","1","1","8","2","2","4","4","1","2"
"41","4","4","2","4","1","1","2","1","8","2","2","4","6","1","2"
"42","6","5","5","4","3","1","1","1","8","2","2","6","6","2","2"
"43","5","7","5","5","5","2","2","1","8","2","2","5","6","1","2"
"44","5","6","5","4","4","1","1","1","8","2","2","5","5","2","2"
"45","5","3","3","3","6","1","1","1","8","2","2","5","5","1","2"
"46","4","6","5","4","1","1","1","2","3","2","2","6","7","7","2"
"47","3","5","1","5","1","1","2","2","8","2","2","7","6","1","1"
"48","4","7","2","4","1","1","1","1","8","2","2","7","6","1","2"
"49","5","7","2","5","2","1","1","1","8","2","2","7","7","1","2"
"50","4","5","5","4","6","1","1","1","8","2","2","6","5","1","2"
"51","5","7","1","5","6","2","1","1","8","2","2","7","7","1","2"
"52","5","7","1","5","1","1","1","1","8","2","2","7","5","1","2"
"53","5","7","3","2","7","2","1","2","8","2","2","1","1","1","1"
"54","4","7","4","5","4","1","2","1","8","2","2","7","5","1","1"
"55","5","7","2","4","1","2","2","1","8","2","2","6","5","1","2"
"56","4","5","4","4","4","2","2","1","8","2","2","5","5","1","1"
"57","5","5","5","4","5","2","2","1","8","2","2","6","7","1","2"
"58","5","5","1","3","1","1","1","1","8","2","2","4","4","1","2"
"59","5","6","4","3","5","1","1","1","8","2","2","4","5","3","2"
"60","6","5","1","3","1","1","2","1","8","2","2","7","5","7","2"
"61","7","7","6","5","6","1","1","1","9","2","2","5","5","7","2"
"62","6","4","6","4","6","2","2","1","8","2","2","6","5","1","2"
"63","5","6","1","4","2","1","2","1","8","2","2","5","6","1","1"
