,Unnamed: 0,Unnamed: 0.1,MiuId,Address,PremiseLatitude,PremiseLongitude,Multiplier,PropertyType,GeneralUseType,SpecificUseType,SpecificUseDetail1,SpecificUseDetail2,YearBuilt,EffectiveYearBuilt,SQFTmain,Bedrooms,Bathrooms,Units,LandValue,TotalLandImpValue,TotalValue,HouseNo,StreetName,CENTER_LAT,CENTER_LON
0,0,17140,1548226824,2001 DEL BAY ST,33.852185,-118.167076,0.01,SFR,Residential,Single Family Residence, , ,1969,1969,2210,5,3,1,99596,249898,249898,2001,DEL BAY ST,33.85225902,-118.1672151
1,1,16742,1548207886,2006 DEL BAY ST,33.851827,-118.166954,0.01,SFR,Residential,Single Family Residence, , ,1969,1969,2185,4,3,1,368366,602902,602902,2006,DEL BAY ST,33.85190688,-118.1668677
2,2,17132,1548226638,2007 DEL BAY ST,33.852202,-118.167034,0.01,SFR,Residential,Single Family Residence, , ,1969,1969,1368,3,2,1,158705,246965,246965,2007,DEL BAY ST,33.8523101,-118.167022
3,3,16525,1548188208,2007 DEL HOLLOW ST,33.847579,-118.166739,0.01,SFR,Residential,Single Family Residence, , ,1969,1980,2457,4,3,1,28138,253925,253925,2007,DEL HOLLOW ST,33.84769218,-118.1667447
4,4,17503,1548235132,2008 DEL HOLLOW ST,33.847358,-118.166766,0.01,SFR,Residential,Single Family Residence, , ,1969,1969,2235,4,3,1,291486,445500,445500,2008,DEL HOLLOW ST,33.84725446,-118.1667647
5,5,13791,1548019064,2008 DEL HOLLOW ST,33.847368,-118.166903,0.01,SFR,Residential,Single Family Residence, , ,1969,1969,2235,4,3,1,291486,445500,445500,2008,DEL HOLLOW ST,33.84725446,-118.1667647
6,6,18574,1548266872,2010 DEL BAY ST,33.852042,-118.1668,0.01,SFR,Residential,Single Family Residence, , ,1969,1969,1368,3,2,1,289663,362076,362076,2010,DEL BAY ST,33.85195126,-118.1666924
7,7,430,1547163966,2011 DEL AMO BLVD,33.847432,-118.166995,0.01,C/I,Commercial,Service Station,Full Service,No Additional Services,1969,1979,1963,0,0,0,1478772,1690025,1690025,2011,DEL AMO BLVD,33.84727352,-118.1671152
8,8,10292,1547857320,2011 DEL AMO BLVD,33.847299,-118.167397,0.01,C/I,Commercial,Service Station,Full Service,No Additional Services,1969,1979,1963,0,0,0,1478772,1690025,1690025,2011,DEL AMO BLVD,33.84727352,-118.1671152
9,9,19739,1548323326,2013 DEL BAY ST,33.852284,-118.16675,0.01,SFR,Residential,Single Family Residence, ,Pool,1969,1969,1729,3,2,1,269593,453135,453135,2013,DEL BAY ST,33.85236216,-118.1668625
10,10,18970,1548289572,2014 DEL HOLLOW ST,33.847375,-118.166629,0.01,SFR,Residential,Single Family Residence, , ,1969,1969,1544,3,2,1,23457,108546,108546,2014,DEL HOLLOW ST,33.84724857,-118.1665787
11,11,20041,1548337434,2015 DEL HOLLOW ST,33.847579,-118.166527,0.01,SFR,Residential,Single Family Residence, , ,1968,1968,2210,4,3,1,180055,351191,351191,2015,DEL HOLLOW ST,33.84768909,-118.1665706
12,12,20058,1548338062,2016 DEL BAY ST,33.852137,-118.166549,0.01,SFR,Residential,Single Family Residence, ,Pool,1969,1969,2210,4,3,1,243130,474611,474611,2016,DEL BAY ST,33.85201601,-118.1665469
13,13,19727,1548322824,2019 DEL BAY ST,33.8523,-118.166708,0.01,SFR,Residential,Single Family Residence, , ,1969,1969,1368,3,2,1,247793,420169,420169,2019,DEL BAY ST,33.85242091,-118.1667091
14,14,19725,1548322810,2020 DEL BAY ST,33.852156,-118.166509,0.01,SFR,Residential,Single Family Residence, ,Pool,1969,1969,1729,3,2,1,23456,109617,109617,2020,DEL BAY ST,33.85207774,-118.1663967
15,15,14610,1548112694,2020 DEL HOLLOW ST,33.847376,-118.166461,0.01,SFR,Residential,Single Family Residence, , ,1969,1969,1854,3,2,1,316879,422505,422505,2020,DEL HOLLOW ST,33.84725372,-118.166414
