,res,ind,com,rest
0,3514,1092,0,0
3600,3514,1092,0,0
7200,3514,1092,0,0
10800,3485,1092,0,29
14400,3475,1092,0,39
18000,3163,1092,312,39
21600,2875,1092,585,54
25200,2409,1092,1046,59
28800,1974,1092,1486,54
32400,1605,1092,1860,49
36000,1539,1092,1916,59
39600,1353,1092,2053,108
43200,1354,1092,2057,103
46800,1358,1092,2068,88
50400,1407,1092,2024,83
54000,1493,1092,1942,79
57600,1644,1092,1787,83
61200,1966,1092,1460,88
64800,2388,1092,1018,108
68400,2795,1092,611,108
72000,3114,1092,312,88
75600,3455,1092,0,59
79200,3485,1092,0,29
82800,3504,1092,0,10
86400,3514,1092,0,0
90000,3514,1092,0,0
93600,3514,1092,0,0
97200,3485,1092,0,29
100800,3475,1092,0,39
104400,3163,1092,312,39
108000,2875,1092,585,54
111600,2409,1092,1046,59
115200,1974,1092,1486,54
118800,1605,1092,1860,49
122400,1539,1092,1916,59
126000,1353,1092,2053,108
129600,1354,1092,2057,103
133200,1358,1092,2068,88
136800,1407,1092,2024,83
140400,1493,1092,1942,79
144000,1644,1092,1787,83
147600,1966,1092,1460,88
151200,2388,1092,1018,108
154800,2795,1092,611,108
158400,3114,1092,312,88
162000,3455,1092,0,59
165600,3485,1092,0,29
169200,3504,1092,0,10
172800,3514,1092,0,0
176400,3514,1092,0,0
180000,3514,1092,0,0
183600,3485,1092,0,29
187200,3475,1092,0,39
190800,3163,1092,312,39
194400,2875,1092,585,54
198000,2409,1092,1046,59
201600,1974,1092,1486,54
205200,1605,1092,1860,49
208800,1539,1092,1916,59
212400,1353,1092,2053,108
216000,1354,1092,2057,103
219600,1358,1092,2068,88
223200,1407,1092,2024,83
226800,1493,1092,1942,79
230400,1644,1092,1787,83
234000,1966,1092,1460,88
237600,2388,1092,1018,108
241200,2795,1092,611,108
244800,3114,1092,312,88
248400,3455,1092,0,59
252000,3485,1092,0,29
255600,3504,1092,0,10
259200,3514,1092,0,0
262800,3514,1092,0,0
266400,3514,1092,0,0
270000,3485,1092,0,29
273600,3475,1092,0,39
277200,3163,1092,312,39
280800,2875,1092,585,54
284400,2409,1092,1046,59
288000,1974,1092,1486,54
291600,1605,1092,1860,49
295200,1539,1092,1916,59
298800,1353,1092,2053,108
302400,1354,1092,2057,103
306000,1358,1092,2068,88
309600,1407,1092,2024,83
313200,1493,1092,1942,79
316800,1644,1092,1787,83
320400,1966,1092,1460,88
324000,2388,1092,1018,108
327600,2795,1092,611,108
331200,3114,1092,312,88
334800,3455,1092,0,59
338400,3485,1092,0,29
342000,3504,1092,0,10
345600,3514,1092,0,0
349200,3514,1092,0,0
352800,3514,1092,0,0
356400,3485,1092,0,29
360000,3475,1092,0,39
363600,3163,1092,312,39
367200,2875,1092,585,54
370800,2409,1092,1046,59
374400,1974,1092,1486,54
378000,1605,1092,1860,49
381600,1539,1092,1916,59
385200,1353,1092,2053,108
388800,1354,1092,2057,103
392400,1358,1092,2068,88
396000,1407,1092,2024,83
399600,1493,1092,1942,79
403200,1644,1092,1787,83
406800,1966,1092,1460,88
410400,2388,1092,1018,108
414000,2795,1092,611,108
417600,3114,1092,312,88
421200,3455,1092,0,59
424800,3485,1092,0,29
428400,3504,1092,0,10
432000,3514,1092,0,0
435600,3514,1092,0,0
439200,3514,1092,0,0
442800,3485,1092,0,29
446400,3475,1092,0,39
450000,3163,1092,312,39
453600,2875,1092,585,54
457200,2409,1092,1046,59
460800,1974,1092,1486,54
464400,1605,1092,1860,49
468000,1539,1092,1916,59
471600,1353,1092,2053,108
475200,1354,1092,2057,103
478800,1358,1092,2068,88
482400,1407,1092,2024,83
486000,1493,1092,1942,79
489600,1644,1092,1787,83
493200,1966,1092,1460,88
496800,2388,1092,1018,108
500400,2795,1092,611,108
504000,3114,1092,312,88
507600,3455,1092,0,59
511200,3485,1092,0,29
514800,3504,1092,0,10
518400,3514,1092,0,0
522000,3514,1092,0,0
525600,3514,1092,0,0
529200,3485,1092,0,29
532800,3475,1092,0,39
536400,3163,1092,312,39
540000,2875,1092,585,54
543600,2409,1092,1046,59
547200,1974,1092,1486,54
550800,1605,1092,1860,49
554400,1539,1092,1916,59
558000,1353,1092,2053,108
561600,1354,1092,2057,103
565200,1358,1092,2068,88
568800,1407,1092,2024,83
572400,1493,1092,1942,79
576000,1644,1092,1787,83
579600,1966,1092,1460,88
583200,2388,1092,1018,108
586800,2795,1092,611,108
590400,3114,1092,312,88
594000,3455,1092,0,59
597600,3485,1092,0,29
601200,3504,1092,0,10
604800,3514,1092,0,0
608400,3514,1092,0,0
612000,3514,1092,0,0
615600,3485,1092,0,29
619200,3475,1092,0,39
622800,3163,1092,312,39
626400,2875,1092,585,54
630000,2409,1092,1046,59
633600,1974,1092,1486,54
637200,1605,1092,1860,49
640800,1539,1092,1916,59
644400,1353,1092,2053,108
648000,1354,1092,2057,103
651600,1358,1092,2068,88
655200,1407,1092,2024,83
658800,1493,1092,1942,79
662400,1644,1092,1787,83
666000,1966,1092,1460,88
669600,2388,1092,1018,108
673200,2795,1092,611,108
676800,3114,1092,312,88
680400,3455,1092,0,59
684000,3485,1092,0,29
687600,3504,1092,0,10
691200,3514,1092,0,0
694800,3514,1092,0,0
698400,3514,1092,0,0
702000,3485,1092,0,29
705600,3475,1092,0,39
709200,3163,1092,312,39
712800,2875,1092,585,54
716400,2409,1092,1046,59
720000,1974,1092,1486,54
723600,1605,1092,1860,49
727200,1539,1092,1916,59
730800,1353,1092,2053,108
734400,1354,1092,2057,103
738000,1358,1092,2068,88
741600,1407,1092,2024,83
745200,1493,1092,1942,79
748800,1644,1092,1787,83
752400,1966,1092,1460,88
756000,2388,1092,1018,108
759600,2795,1092,611,108
763200,3114,1092,312,88
766800,3455,1092,0,59
770400,3485,1092,0,29
774000,3504,1092,0,10
777600,3514,1092,0,0
781200,3514,1092,0,0
784800,3514,1092,0,0
788400,3485,1092,0,29
792000,3475,1092,0,39
795600,3163,1092,312,39
799200,2875,1092,585,54
802800,2409,1092,1046,59
806400,1974,1092,1486,54
810000,1605,1092,1860,49
813600,1539,1092,1916,59
817200,1353,1092,2053,108
820800,1354,1092,2057,103
824400,1358,1092,2068,88
828000,1407,1092,2024,83
831600,1493,1092,1942,79
835200,1644,1092,1787,83
838800,1966,1092,1460,88
842400,2388,1092,1018,108
846000,2795,1092,611,108
849600,3114,1092,312,88
853200,3455,1092,0,59
856800,3485,1092,0,29
860400,3504,1092,0,10
864000,3514,1092,0,0
867600,3514,1092,0,0
871200,3514,1092,0,0
874800,3485,1092,0,29
878400,3475,1092,0,39
882000,3163,1092,312,39
885600,2875,1092,585,54
889200,2409,1092,1046,59
892800,1974,1092,1486,54
896400,1605,1092,1860,49
900000,1539,1092,1916,59
903600,1353,1092,2053,108
907200,1354,1092,2057,103
910800,1358,1092,2068,88
914400,1407,1092,2024,83
918000,1493,1092,1942,79
921600,1644,1092,1787,83
925200,1966,1092,1460,88
928800,2388,1092,1018,108
932400,2795,1092,611,108
936000,3114,1092,312,88
939600,3455,1092,0,59
943200,3485,1092,0,29
946800,3504,1092,0,10
950400,3514,1092,0,0
954000,3514,1092,0,0
957600,3514,1092,0,0
961200,3485,1092,0,29
964800,3475,1092,0,39
968400,3163,1092,312,39
972000,2875,1092,585,54
975600,2409,1092,1046,59
979200,1974,1092,1486,54
982800,1605,1092,1860,49
986400,1539,1092,1916,59
990000,1353,1092,2053,108
993600,1354,1092,2057,103
997200,1358,1092,2068,88
1000800,1407,1092,2024,83
1004400,1493,1092,1942,79
1008000,1644,1092,1787,83
1011600,1966,1092,1460,88
1015200,2388,1092,1018,108
1018800,2795,1092,611,108
1022400,3114,1092,312,88
1026000,3455,1092,0,59
1029600,3485,1092,0,29
1033200,3504,1092,0,10
1036800,3514,1092,0,0
1040400,3514,1092,0,0
1044000,3514,1092,0,0
1047600,3485,1092,0,29
1051200,3475,1092,0,39
1054800,3163,1092,312,39
1058400,2875,1092,585,54
1062000,2409,1092,1046,59
1065600,1974,1092,1486,54
1069200,1605,1092,1860,49
1072800,1539,1092,1916,59
1076400,1353,1092,2053,108
1080000,1354,1092,2057,103
1083600,1358,1092,2068,88
1087200,1407,1092,2024,83
1090800,1493,1092,1942,79
1094400,1644,1092,1787,83
1098000,1966,1092,1460,88
1101600,2388,1092,1018,108
1105200,2795,1092,611,108
1108800,3114,1092,312,88
1112400,3455,1092,0,59
1116000,3485,1092,0,29
1119600,3504,1092,0,10
1123200,3514,1092,0,0
1126800,3514,1092,0,0
1130400,3514,1092,0,0
1134000,3485,1092,0,29
1137600,3475,1092,0,39
1141200,3163,1092,312,39
1144800,2875,1092,585,54
1148400,2409,1092,1046,59
1152000,1974,1092,1486,54
1155600,1605,1092,1860,49
1159200,1539,1092,1916,59
1162800,1353,1092,2053,108
1166400,1354,1092,2057,103
1170000,1358,1092,2068,88
1173600,1407,1092,2024,83
1177200,1493,1092,1942,79
