,res,ind,com,rest
0,3514,1092,0,0
3600,3514,1092,0,0
7200,3514,1092,0,0
10800,3514,1092,0,0
14400,3514,1092,0,0
18000,3188,1092,314,12
21600,2902,1092,584,28
25200,2419,1092,1050,45
28800,1959,1092,1493,62
32400,1568,1092,1871,75
36000,1416,1092,2019,79
39600,1366,1092,2067,81
43200,1362,1092,2071,81
46800,1350,1092,2082,82
50400,1396,1092,2038,80
54000,1482,1092,1955,77
57600,1644,1092,1802,68
61200,1986,1092,1471,57
64800,2449,1092,1029,36
68400,2875,1092,621,18
72000,3187,1092,317,10
75600,3514,1092,0,0
79200,3514,1092,0,0
82800,3514,1092,0,0
86400,3514,1092,0,0
90000,3514,1092,0,0
93600,3514,1092,0,0
97200,3514,1092,0,0
100800,3514,1092,0,0
104400,3188,1092,314,12
108000,2902,1092,582,30
111600,2419,1092,1051,44
115200,1959,1092,1492,63
118800,1568,1092,1868,78
122400,1416,1092,2015,83
126000,1366,1092,2065,83
129600,1362,1092,2069,83
133200,1350,1092,2081,83
136800,1396,1092,2035,83
140400,1482,1092,1951,81
144000,1644,1092,1796,74
147600,1986,1092,1468,60
151200,2449,1092,1025,40
154800,2875,1092,608,31
158400,3187,1092,313,14
162000,3514,1092,0,0
165600,3514,1092,0,0
169200,3514,1092,0,0
172800,3514,1092,0,0
176400,3514,1092,0,0
180000,3514,1092,0,0
183600,3514,1092,0,0
187200,3514,1092,0,0
190800,3188,1092,318,8
194400,2902,1092,592,20
198000,2419,1092,1052,43
201600,1959,1092,1497,58
205200,1568,1092,1872,74
208800,1416,1092,2018,80
212400,1366,1092,2067,81
216000,1362,1092,2070,82
219600,1350,1092,2082,82
223200,1396,1092,2040,78
226800,1482,1092,1958,74
230400,1644,1092,1802,68
234000,1986,1092,1473,55
237600,2449,1092,1028,37
241200,2875,1092,622,17
244800,3187,1092,315,12
248400,3514,1092,0,0
252000,3514,1092,0,0
255600,3514,1092,0,0
259200,3514,1092,0,0
262800,3514,1092,0,0
266400,3514,1092,0,0
270000,3514,1092,0,0
273600,3514,1092,0,0
277200,3188,1092,310,16
280800,2902,1092,581,31
284400,2419,1092,1045,50
288000,1959,1092,1492,63
291600,1568,1092,1871,75
295200,1416,1092,2017,81
298800,1366,1092,2064,84
302400,1362,1092,2068,84
306000,1350,1092,2080,84
309600,1396,1092,2037,81
313200,1482,1092,1956,76
316800,1644,1092,1801,69
320400,1986,1092,1477,51
324000,2449,1092,1029,36
327600,2875,1092,619,20
331200,3187,1092,316,11
334800,3514,1092,0,0
338400,3514,1092,0,0
342000,3514,1092,0,0
345600,3514,1092,0,0
349200,3514,1092,0,0
352800,3514,1092,0,0
356400,3514,1092,0,0
360000,3514,1092,0,0
363600,3188,1092,315,11
367200,2902,1092,595,17
370800,2419,1092,1057,38
374400,1959,1092,1495,60
378000,1568,1092,1872,74
381600,1416,1092,2014,84
385200,1366,1092,2062,86
388800,1362,1092,2066,86
392400,1350,1092,2078,86
396000,1396,1092,2033,85
399600,1482,1092,1951,81
403200,1644,1092,1797,73
406800,1986,1092,1469,59
410400,2449,1092,1026,39
414000,2875,1092,616,23
417600,3187,1092,314,13
421200,3514,1092,0,0
424800,3514,1092,0,0
428400,3514,1092,0,0
432000,3514,1092,0,0
435600,3514,1092,0,0
439200,3514,1092,0,0
442800,3514,1092,0,0
446400,3514,1092,0,0
450000,3188,1092,310,16
453600,2902,1092,590,22
457200,2419,1092,1061,34
460800,1959,1092,1501,54
464400,1568,1092,1871,75
468000,1416,1092,2017,81
471600,1366,1092,2065,83
475200,1362,1092,2068,84
478800,1350,1092,2080,84
482400,1396,1092,2037,81
486000,1482,1092,1956,76
489600,1644,1092,1797,73
493200,1986,1092,1469,59
496800,2449,1092,1023,42
500400,2875,1092,613,26
504000,3187,1092,315,12
507600,3514,1092,0,0
511200,3514,1092,0,0
514800,3514,1092,0,0
518400,3514,1092,0,0
522000,3514,1092,0,0
525600,3514,1092,0,0
529200,3514,1092,0,0
532800,3514,1092,0,0
536400,3188,1092,311,15
540000,2902,1092,589,23
543600,2419,1092,1051,44
547200,1959,1092,1495,60
550800,1568,1092,1873,73
554400,1416,1092,2022,76
558000,1366,1092,2069,79
561600,1362,1092,2072,80
565200,1350,1092,2082,82
568800,1396,1092,2036,82
572400,1482,1092,1954,78
576000,1644,1092,1796,74
579600,1986,1092,1461,67
583200,2449,1092,1021,44
586800,2875,1092,613,26
590400,3187,1092,317,10
594000,3514,1092,0,0
597600,3514,1092,0,0
601200,3514,1092,0,0
604800,3514,1092,0,0
608400,3514,1092,0,0
612000,3514,1092,0,0
615600,3514,1092,0,0
619200,3514,1092,0,0
622800,3188,1092,315,11
626400,2902,1092,591,21
630000,2419,1092,1051,44
633600,1959,1092,1493,62
637200,1568,1092,1865,81
640800,1416,1092,2014,84
644400,1366,1092,2064,84
648000,1362,1092,2068,84
651600,1350,1092,2080,84
655200,1396,1092,2035,83
658800,1482,1092,1952,80
662400,1644,1092,1795,75
666000,1986,1092,1460,68
669600,2449,1092,1021,44
673200,2875,1092,614,25
676800,3187,1092,320,7
680400,3514,1092,0,0
684000,3514,1092,0,0
687600,3514,1092,0,0
691200,3514,1092,0,0
694800,3514,1092,0,0
698400,3514,1092,0,0
702000,3514,1092,0,0
705600,3514,1092,0,0
709200,3188,1092,311,15
712800,2902,1092,585,27
716400,2419,1092,1051,44
720000,1959,1092,1491,64
723600,1568,1092,1865,81
727200,1416,1092,2015,83
730800,1366,1092,2064,84
734400,1362,1092,2068,84
738000,1350,1092,2080,84
741600,1396,1092,2036,82
745200,1482,1092,1953,79
748800,1644,1092,1798,72
752400,1986,1092,1470,58
756000,2449,1092,1025,40
759600,2875,1092,617,22
763200,3187,1092,316,11
766800,3514,1092,0,0
770400,3514,1092,0,0
774000,3514,1092,0,0
777600,3514,1092,0,0
781200,3514,1092,0,0
784800,3514,1092,0,0
788400,3514,1092,0,0
792000,3514,1092,0,0
795600,3188,1092,314,12
799200,2902,1092,590,22
802800,2419,1092,1051,44
806400,1959,1092,1496,59
810000,1568,1092,1874,72
813600,1416,1092,2024,74
817200,1366,1092,2067,81
820800,1362,1092,2071,81
824400,1350,1092,2082,82
828000,1396,1092,2039,79
831600,1482,1092,1956,76
835200,1644,1092,1803,67
838800,1986,1092,1475,53
842400,2449,1092,1027,38
846000,2875,1092,621,18
849600,3187,1092,318,9
853200,3514,1092,0,0
856800,3514,1092,0,0
860400,3514,1092,0,0
864000,3514,1092,0,0
867600,3514,1092,0,0
871200,3514,1092,0,0
874800,3514,1092,0,0
878400,3514,1092,0,0
882000,3188,1092,315,11
885600,2902,1092,588,24
889200,2419,1092,1060,35
892800,1959,1092,1499,56
896400,1568,1092,1868,78
900000,1416,1092,2015,83
903600,1366,1092,2064,84
907200,1362,1092,2067,85
910800,1350,1092,2078,86
914400,1396,1092,2033,85
918000,1482,1092,1951,81
921600,1644,1092,1799,71
925200,1986,1092,1473,55
928800,2449,1092,1028,37
932400,2875,1092,614,25
936000,3187,1092,313,14
939600,3514,1092,0,0
943200,3514,1092,0,0
946800,3514,1092,0,0
950400,3514,1092,0,0
954000,3514,1092,0,0
957600,3514,1092,0,0
961200,3514,1092,0,0
964800,3514,1092,0,0
968400,3188,1092,312,14
972000,2902,1092,581,31
975600,2419,1092,1046,49
979200,1959,1092,1493,62
982800,1568,1092,1871,75
986400,1416,1092,2016,82
990000,1366,1092,2064,84
993600,1362,1092,2068,84
997200,1350,1092,2080,84
1000800,1396,1092,2034,84
1004400,1482,1092,1950,82
1008000,1644,1092,1791,79
1011600,1986,1092,1464,64
1015200,2449,1092,1022,43
1018800,2875,1092,616,23
1022400,3187,1092,319,8
1026000,3514,1092,0,0
1029600,3514,1092,0,0
1033200,3514,1092,0,0
1036800,3514,1092,0,0
1040400,3514,1092,0,0
1044000,3514,1092,0,0
1047600,3514,1092,0,0
1051200,3514,1092,0,0
1054800,3188,1092,316,10
1058400,2902,1092,590,22
1062000,2419,1092,1044,51
1065600,1959,1092,1488,67
1069200,1568,1092,1869,77
1072800,1416,1092,2017,81
1076400,1366,1092,2065,83
1080000,1362,1092,2069,83
1083600,1350,1092,2081,83
1087200,1396,1092,2037,81
1090800,1482,1092,1954,78
1094400,1644,1092,1795,75
1098000,1986,1092,1468,60
1101600,2449,1092,1031,34
1105200,2875,1092,615,24
1108800,3187,1092,318,9
1112400,3514,1092,0,0
1116000,3514,1092,0,0
1119600,3514,1092,0,0
1123200,3514,1092,0,0
1126800,3514,1092,0,0
1130400,3514,1092,0,0
1134000,3514,1092,0,0
1137600,3514,1092,0,0
1141200,3188,1092,323,3
1144800,2902,1092,600,12
1148400,2419,1092,1067,28
1152000,1959,1092,1497,58
1155600,1568,1092,1870,76
1159200,1416,1092,2016,82
1162800,1366,1092,2065,83
1166400,1362,1092,2069,83
1170000,1350,1092,2081,83
1173600,1396,1092,2036,82
1177200,1482,1092,1953,79
