,res,ind,com,rest
0,3514,1092,0,0
3600,3514,1092,0,0
7200,3514,1092,0,0
10800,3485,1092,0,29
14400,3475,1092,0,39
18000,3163,1092,312,39
21600,2875,1092,585,54
25200,2409,1092,1046,59
28800,1974,1092,1486,54
32400,1605,1092,1860,49
36000,1539,1092,1916,59
39600,1353,1092,2053,108
43200,1354,1092,2057,103
46800,1358,1092,2068,88
50400,1407,1092,2024,83
54000,1493,1092,1942,79
57600,1644,1092,1787,83
61200,1966,1092,1460,88
64800,2388,1092,1018,108
68400,2795,1092,611,108
72000,3114,1092,312,88
75600,3455,1092,0,59
79200,3485,1092,0,29
82800,3504,1092,0,10
86400,3514,1092,0,0
90000,3514,1092,0,0
93600,3514,1092,0,0
97200,3486,1092,0,28
100800,3476,1092,0,38
104400,3165,1092,311,38
108000,2881,1089,584,52
111600,2419,1089,1041,57
115200,1988,1089,1477,52
118800,1622,1089,1848,47
122400,1557,1089,1903,57
126000,1372,1089,2039,106
129600,1373,1089,2043,101
133200,1377,1089,2054,86
136800,1426,1089,2010,81
140400,1512,1089,1928,77
144000,1663,1089,1773,81
147600,1985,1089,1446,86
151200,2407,1089,1004,106
154800,2814,1089,597,106
158400,3133,1089,298,86
162000,3460,1089,0,57
165600,3488,1091,0,27
169200,3507,1091,0,8
172800,3515,1091,0,0
176400,3515,1091,0,0
180000,3515,1091,0,0
183600,3486,1091,0,29
187200,3476,1091,0,39
190800,3164,1091,312,39
194400,2880,1089,583,54
198000,2415,1089,1043,59
201600,1986,1089,1477,54
205200,1619,1089,1849,49
208800,1554,1089,1905,58
212400,1373,1089,2039,105
216000,1374,1089,2043,100
219600,1378,1089,2054,85
223200,1425,1091,2010,80
226800,1511,1091,1928,76
230400,1662,1091,1773,80
234000,1984,1091,1446,85
237600,2406,1091,1004,105
241200,2813,1091,597,105
244800,3132,1091,298,85
248400,3459,1091,0,56
252000,3488,1092,0,26
255600,3507,1092,0,7
259200,3514,1092,0,0
262800,3514,1092,0,0
266400,3514,1092,0,0
270000,3485,1092,0,29
273600,3476,1092,0,38
277200,3165,1092,311,38
280800,2879,1092,582,53
284400,2417,1092,1039,58
288000,1985,1092,1476,53
291600,1618,1092,1848,48
295200,1553,1092,1903,58
298800,1371,1092,2039,104
302400,1373,1092,2042,99
306000,1377,1092,2053,84
309600,1426,1092,2009,79
313200,1512,1092,1927,75
316800,1663,1092,1772,79
320400,1985,1092,1445,84
324000,2407,1092,1003,104
327600,2814,1092,596,104
331200,3133,1092,297,84
334800,3459,1092,0,55
338400,3491,1090,0,25
342000,3510,1090,0,6
345600,3516,1090,0,0
349200,3516,1090,0,0
352800,3516,1090,0,0
356400,3487,1090,0,29
360000,3478,1090,0,38
363600,3171,1090,307,38
367200,2881,1092,580,53
370800,2418,1092,1038,58
374400,1988,1092,1473,53
378000,1620,1092,1846,48
381600,1555,1092,1902,57
385200,1371,1092,2037,106
388800,1372,1092,2041,101
392400,1376,1092,2052,86
396000,1429,1088,2008,81
399600,1515,1088,1926,77
403200,1667,1088,1771,80
406800,1989,1088,1444,85
410400,2411,1088,1002,105
414000,2818,1088,595,105
417600,3137,1088,296,85
421200,3462,1088,0,56
424800,3489,1091,0,26
428400,3508,1091,0,7
432000,3515,1091,0,0
435600,3515,1091,0,0
439200,3515,1091,0,0
442800,3486,1091,0,29
446400,3476,1091,0,39
450000,3164,1091,312,39
453600,2881,1088,583,54
457200,2419,1088,1040,59
460800,1989,1088,1475,54
464400,1623,1088,1846,49
468000,1557,1088,1902,59
471600,1375,1088,2037,106
475200,1376,1088,2041,101
478800,1380,1088,2052,86
482400,1433,1084,2008,81
486000,1519,1084,1926,77
489600,1670,1084,1771,81
493200,1992,1084,1444,86
496800,2414,1084,1002,106
500400,2821,1084,595,106
504000,3140,1084,296,86
507600,3465,1084,0,57
511200,3491,1088,0,27
514800,3510,1088,0,8
518400,3518,1088,0,0
522000,3518,1088,0,0
525600,3518,1088,0,0
529200,3489,1088,0,29
532800,3479,1088,0,39
536400,3167,1088,312,39
540000,2881,1089,583,53
543600,2419,1089,1040,58
547200,1989,1089,1475,53
550800,1632,1089,1837,48
554400,1566,1089,1893,58
558000,1385,1089,2026,106
561600,1387,1089,2029,101
565200,1391,1089,2040,86
568800,1440,1089,1996,81
572400,1526,1089,1914,77
576000,1677,1089,1759,81
579600,1999,1089,1432,86
583200,2422,1089,990,105
586800,2829,1089,583,105
590400,3148,1089,284,85
594000,3461,1089,0,56
597600,3494,1086,0,26
601200,3513,1086,0,7
604800,3520,1086,0,0
608400,3520,1086,0,0
612000,3520,1086,0,0
615600,3491,1086,0,29
619200,3481,1086,0,39
622800,3175,1086,306,39
626400,2886,1088,578,54
630000,2428,1088,1031,59
633600,2002,1088,1462,54
637200,1638,1088,1831,49
640800,1573,1088,1886,59
644400,1392,1088,2019,107
648000,1393,1088,2023,102
651600,1397,1088,2034,87
655200,1454,1080,1990,82
658800,1540,1080,1908,78
662400,1691,1080,1753,82
666000,2013,1080,1426,87
669600,2435,1080,984,107
673200,2842,1080,577,107
676800,3161,1080,278,87
680400,3468,1080,0,58
684000,3487,1091,0,28
687600,3506,1091,0,9
691200,3515,1091,0,0
694800,3515,1091,0,0
698400,3515,1091,0,0
702000,3487,1091,0,28
705600,3478,1091,0,37
709200,3167,1091,311,37
712800,2892,1079,583,52
716400,2433,1079,1037,57
720000,2010,1079,1465,52
723600,1650,1079,1830,47
727200,1585,1079,1886,56
730800,1405,1079,2020,102
734400,1406,1079,2024,97
738000,1410,1079,2035,82
741600,1461,1077,1991,77
745200,1547,1077,1909,73
748800,1699,1077,1754,76
752400,2022,1077,1427,80
756000,2445,1077,985,99
759600,2852,1077,578,99
763200,3171,1077,279,79
766800,3479,1077,0,50
770400,3499,1087,0,20
774000,3518,1087,0,1
777600,3519,1087,0,0
781200,3519,1087,0,0
784800,3519,1087,0,0
788400,3490,1087,0,29
792000,3480,1087,0,39
795600,3173,1087,307,39
799200,2900,1080,573,53
802800,2444,1080,1024,58
806400,2019,1080,1454,53
810000,1662,1080,1816,48
813600,1602,1080,1867,57
817200,1425,1080,1996,105
820800,1426,1080,2000,100
824400,1431,1080,2010,85
828000,1494,1066,1966,80
831600,1580,1066,1884,76
835200,1731,1066,1729,80
838800,2054,1066,1402,84
842400,2477,1066,960,103
846000,2884,1066,553,103
849600,3203,1066,254,83
853200,3486,1066,0,54
856800,3505,1077,0,24
860400,3524,1077,0,5
864000,3529,1077,0,0
867600,3529,1077,0,0
871200,3529,1077,0,0
874800,3502,1077,0,27
878400,3492,1077,0,37
882000,3185,1077,307,37
885600,2907,1076,571,52
889200,2457,1076,1016,57
892800,2034,1076,1444,52
896400,1678,1076,1805,47
900000,1612,1076,1861,57
903600,1439,1076,1987,104
907200,1440,1076,1991,99
910800,1444,1076,2002,84
914400,1505,1064,1958,79
918000,1591,1064,1876,75
921600,1742,1064,1721,79
925200,2064,1064,1394,84
928800,2486,1064,952,104
932400,2893,1064,545,104
936000,3212,1064,246,84
939600,3487,1064,0,55
943200,3505,1076,0,25
946800,3524,1076,0,6
950400,3530,1076,0,0
954000,3530,1076,0,0
957600,3530,1076,0,0
961200,3501,1076,0,29
964800,3491,1076,0,39
968400,3182,1076,309,39
972000,2918,1063,571,54
975600,2471,1063,1013,59
979200,2055,1063,1434,54
982800,1703,1063,1791,49
986400,1641,1063,1844,58
990000,1468,1063,1969,106
993600,1469,1063,1973,101
997200,1473,1063,1984,86
1000800,1537,1048,1940,81
1004400,1623,1048,1858,77
1008000,1774,1048,1703,81
1011600,2097,1048,1376,85
1015200,2519,1048,934,105
1018800,2926,1048,527,105
1022400,3245,1048,228,85
1026000,3502,1048,0,56
1029600,3513,1067,0,26
1033200,3532,1067,0,7
1036800,3539,1067,0,0
1040400,3539,1067,0,0
1044000,3539,1067,0,0
1047600,3511,1067,0,28
1051200,3501,1067,0,38
1054800,3199,1067,302,38
1058400,2924,1063,566,53
1062000,2485,1063,1001,57
1065600,2069,1063,1422,52
1069200,1719,1063,1777,47
1072800,1656,1063,1831,56
1076400,1487,1063,1958,98
1080000,1488,1063,1962,93
1083600,1492,1063,1973,78
1087200,1558,1046,1929,73
1090800,1644,1046,1847,69
1094400,1795,1046,1692,73
1098000,2117,1046,1365,78
1101600,2540,1046,923,97
1105200,2947,1046,516,97
1108800,3266,1046,217,77
1112400,3512,1046,0,48
1116000,3516,1072,0,18
1119600,3534,1072,0,0
1123200,3534,1072,0,0
1126800,3534,1072,0,0
1130400,3534,1072,0,0
1134000,3505,1072,0,29
1137600,3496,1072,0,38
1141200,3197,1072,299,38
1144800,2944,1047,562,53
1148400,2505,1047,997,57
1152000,2094,1047,1413,52
1155600,1756,1047,1756,47
1159200,1698,1047,1804,57
1162800,1529,1047,1929,101
1166400,1530,1047,1933,96
1170000,1535,1047,1943,81
1173600,1606,1025,1899,76
1177200,1692,1025,1817,72
