ID	X	Y
 hillside-tank1  	131442.71	165712.4
 hillside-tank2  	127648.62	164988.97
 hillside-tank3  	124993.76	164631.02
 hillside-tank4  	127252.91	149885.57
 IN0002          	65901.11	147084.04
 IN0003          	65077.4	146652.26
 IN0004          	89569.4	112473.14
 IN0005          	66678.33	147296.62
 IN0006          	67335.97	145615.97
 IN0007          	68352.33	144473.4
 IN0008          	69913.4	143178.05
 IN0009          	64632.33	148266.47
 IN0010          	65602.19	148352.83
 IN0011          	66226.61	148498.97
 IN0020          	67143.33	148731.47
 IN0021          	67581.76	147502.54
 IN0022          	68172.97	146147.4
 IN0023          	68970.11	146672.19
 IN0024          	66665.04	145170.9
 IN0025          	65921.04	144699.26
 IN0026          	67076.9	143470.33
 IN0027          	67701.33	143941.97
 IN0028          	68843.9	145004.83
 IN0029          	69674.26	145735.55
 IN0030          	71268.54	145004.83
 IN0031          	72563.9	143941.97
 IN0032          	73958.9	143290.98
 IN0033          	73826.04	142347.69
 IN0034          	72059.04	143065.12
 IN0035          	70557.75	143941.97
 IN0036          	71706.97	142327.76
 IN0037          	73653.32	141590.41
 IN0038          	73301.25	140766.69
 IN0039          	71261.9	141470.83
 IN0040          	69255.76	142533.69
 IN0041          	68757.54	141915.9
 IN0076          	68432.04	147828.04
 IN0077          	68020.19	148797.9
 IN0089          	75500.04	141444.26
 IN0090          	75412.45	142378.95
 IN0091          	78433.5	141384.72
 IN0092          	78401.56	144496.53
 IN0093          	78461.88	140554.43
 IN0094          	78456.11	139982.83
 IN0095          	75512.71	139908.97
 IN0096          	75506.68	140620.55
 IN0097          	73121.9	140142.26
 IN0098          	73008.97	139497.91
 IN0099          	75601.65	139124.96
 IN0100          	78461.13	138996.23
 IN0101          	71002.83	140793.26
 IN0102          	70717.18	140168.83
 IN0103          	65495.9	149887.33
 IN0104          	66279.76	149920.54
 IN0105          	67023.76	149880.69
 IN0106          	67960.4	149980.33
 IN0107          	67907.26	151122.9
 IN0108          	67056.97	151269.04
 IN0109          	66312.97	151355.4
 IN0110          	65728.4	151355.4
 IN0111          	64778.47	151461.68
 IN0112          	65024.26	152909.83
 IN0113          	65894.47	152830.11
 IN0114          	66578.69	152737.11
 IN0115          	67309.4	152650.76
 IN0116          	68259.33	152504.61
 IN0117          	63547.28	147945.26
 IN0118          	63637.36	150029.89
 IN0119          	63704.27	151764.51
 IN0120          	63897.29	153174.85
 IN0121          	64247.04	146346.69
 IN0122          	65210.26	144234.26
 IN0123          	66552.11	142918.98
 IN0124          	68266.28	141221.69
 IN0138          	75240.97	143025.26
 IN0139          	76370.25	142978.76
 IN0140          	84527.67	146858.19
 IN0141          	84554.25	146001.26
 IN0142          	81166.39	146240.4
 IN0143          	81252.75	145350.26
 IN0144          	81350.15	144436.21
 IN0145          	81438.86	143499.48
 IN0146          	81491.89	142832.62
 IN0147          	81584.34	142026.95
 IN0148          	84680.46	141915.9
 IN0149          	84647.25	142766.19
 IN0150          	84614.03	143536.76
 IN0151          	84587.46	144207.69
 IN0152          	84580.82	145064.62
 IN0153          	84680.46	141357.91
 IN0154          	84701.76	140411.35
 IN0155          	84700.39	139644.05
 IN0156          	81669.5	141292.47
 IN0157          	81733.36	140469.27
 IN0158          	81814.97	139848.33
 IN0159          	87032.03	139710.48
 IN0160          	87005.46	140354.83
 IN0161          	86972.24	141264.91
 IN0162          	86978.89	141915.9
 IN0163          	86945.67	142766.19
 IN0164          	86912.46	143417.19
 IN0165          	86885.89	144327.26
 IN0166          	86852.67	145124.4
 IN0167          	86839.39	146007.9
 IN0168          	86826.1	146911.33
 IN0169          	86792.89	147914.4
 IN0170          	84494.46	147794.83
 IN0171          	82568.03	147323.19
 IN0172          	81029.02	147675.22
 IN0173          	84467.89	148797.9
 IN0174          	86739.74	148997.19
 IN0175          	81909.92	138907.44
 IN0176          	84713.67	138846.91
 IN0177          	87065.24	138773.84
 IN0178          	78398.01	143499.48
 IN0179          	78426.4	142704.67
 IN0180          	78429.95	141966.63
 IN0181          	79937.95	146029.38
 IN0217          	89244.1	150285.9
 IN0218          	89357.03	148000.76
 IN0219          	89396.45	147057.21
 IN0220          	89450.03	146207.19
 IN0221          	89483.24	145263.9
 IN0222          	89543.03	144327.26
 IN0223          	89596.17	143443.76
 IN0224          	89629.39	142759.55
 IN0225          	89655.96	142062.05
 IN0226          	91901.24	141856.12
 IN0227          	91868.03	142885.76
 IN0228          	91834.81	143596.55
 IN0229          	91808.24	144387.05
 IN0230          	91841.46	145124.4
 IN0231          	91868.03	146061.05
 IN0232          	91874.67	146884.76
 IN0233          	91921.17	147974.19
 IN0234          	91954.38	149561.83
 IN0235          	93609.07	149301.11
 IN0236          	93661.6	148060.54
 IN0237          	93728.03	146798.4
 IN0238          	93781.17	146061.05
 IN0239          	93814.38	145323.69
 IN0240          	93840.95	144592.97
 IN0241          	93914.03	143476.98
 IN0242          	93960.53	142540.33
 IN0243          	93987.1	141856.12
 IN0244          	89629.39	141145.33
 IN0245          	91927.81	141085.55
 IN0246          	91954.38	140354.83
 IN0247          	89596.17	140407.98
 IN0248          	89543.03	139650.69
 IN0249          	91980.96	139471.33
 IN0250          	94611.53	139325.19
