ID	ELEV	PAT	POP	HOUSE
 TN0332          	1.49426	res	1561	390
 TN1479          	229.209	res             	1422	356
 TN0203          	0	res             	1267	317
 TN0333          	1.619199	res             	1221	305
 TN0502          	0.67853	res             	1204	301
 TN1518          	89.219955	res             	1140	285
 TN1332          	2.53969	res             	1125	281
 TN0503          	11.614723	res             	1119	280
 TN1370          	9.152493	res             	1071	268
 TN1331          	1.713018	res             	1038	260
 TN1367          	27.684919	res             	971	243
 TN0296          	0.088248	res             	964	241
 TN0323          	0.32179	res             	959	240
 TN0797          	38.966072	res             	955	239
 TN1369          	8.673158	res             	944	236
 TN1524          	84.609955	res             	928	232
 TN0798          	117.075737	res             	924	231
 TN0341          	1.030813	res             	909	227
 TN0342          	0.495227	res             	893	223
 TN1341          	21.52545	res             	863	216
 TN1342          	33.039299	res             	854	214
 TN0799          	141.104553	res             	837	209
 TN0796          	34.687122	res             	816	204
 TN1353          	29.549219	res             	808	202
 TN0132          	5.134109	res             	782	196
 TN0344          	0.295043	res             	782	196
 TN0800          	49.816875	res             	776	194
 TN0802          	267.201813	res             	767	192
 TN1351          	0	res             	765	191
 TN1364          	40.404095	res             	753	188
 TN0801          	209.735611	res             	746	187
 TN1366          	0	res             	741	185
 TN1517          	67.946434	res             	725	181
 TN1354          	54.16766	res             	717	179
 TN1464          	248.516891	res             	716	179
 TN1516          	51.551044	res             	694	174
 TN1458          	180.88829	res             	693	173
 TN1523          	64.7677	res             	686	172
 TN0805          	190.652283	res             	679	170
 TN1350          	24.503136	res             	647	162
 TN1522          	48.253582	res             	639	160
 TN0795          	183.553909	res             	625	156
 TN0331          	1.383743	res             	603	151
 TN1463          	215.487793	res             	602	151
 TN1519          	108.745667	res             	598	150
 TN1365          	19.081804	res             	597	149
 TN1334          	7.196875	res             	588	147
 TN1346          	5.685692	res             	588	147
 TN0328          	0.96898	res             	587	147
 TN0324          	0.474995	res             	586	147
 TN1525          	105.597099	res             	583	146
 TN1356          	15.488435	res             	576	144
 TN0326          	0.701195	res             	571	143
 TN1368          	5.75503	res             	561	140
 TN0325          	0.593209	res             	558	140
 TN1362          	47.000256	res             	558	140
 TN1363          	71.496803	res             	555	139
 TN1459          	144.341125	res             	553	138
 TN1358          	64.745644	res             	550	138
 TN1520          	28.229755	res             	549	137
 TN1359          	42.537479	res             	540	135
 TN0322          	0.139867	res             	531	133
 TN1515          	36.072689	res             	529	132
 TN0745          	113.919754	res             	528	132
 TN0750          	19.238873	res             	520	130
 TN1348          	41.391621	res             	514	129
 TN0336          	0.298984	res             	513	128
 TN0710          	51.842926	res             	512	128
 TN0804          	32.194603	res             	506	127
 TN1462          	180.765167	res             	506	127
 TN0741          	103.375534	res             	503	126
 TN0297          	0.303139	res             	502	126
 TN1336          	0	res             	502	126
 TN1344          	28.704407	res             	496	124
 TN1345          	22.31938	res             	494	124
 TN1471          	272.383606	res             	491	123
 TN1521          	36.381634	res             	485	121
 TN0789          	37.428261	res             	484	121
 TN0288          	3.55401	res             	475	119
 TN0472          	7.858033	res             	473	118
 TN1335          	0	res             	473	118
 TN0309          	0.168006	res             	472	118
 TN0286          	1.940899	res             	462	116
 TN0793          	104.253799	res             	461	115
 TN1454          	69.43824	res             	461	115
 TN0285          	0.967857	res             	457	114
 TN0670          	317.614227	res             	457	114
 TN0671          	370.040985	res             	457	114
 TN0692          	169.597427	res             	457	114
 TN0695          	116.100594	res             	457	114
 TN0696          	92.763741	res             	457	114
 TN0697          	62.318928	res             	457	114
 TN0699          	53.17387	res             	457	114
 TN0701          	85.995148	res             	457	114
 TN0702          	119.812675	res             	457	114
 TN0705          	45.142372	res             	457	114
 TN0706          	80.618591	res             	457	114
 TN0707          	109.502106	res             	457	114
 TN0712          	117.166306	res             	457	114
 TN0718          	19.744011	res             	457	114
 TN0726          	76.100243	res             	457	114
 TN0728          	54.460361	res             	457	114
 TN0729          	80.265114	res             	457	114
 TN0732          	68.043701	res             	457	114
 TN0733          	88.617081	res             	457	114
 TN0736          	81.76535	res             	457	114
 TN0737          	95.054527	res             	457	114
 TN0752          	23.206667	res             	457	114
 TN0755          	38.155289	res             	457	114
 TN0758          	52.551636	res             	457	114
 TN0760          	64.930237	res             	457	114
 TN0762          	78.178658	res             	457	114
 TN1476          	340.947693	res             	457	114
 TN0287          	2.777789	res             	454	114
 TN1466          	167.438644	res             	451	113
 TN1355          	39.292023	res             	450	113
 TN0740          	95.806236	res             	446	112
 TN1475          	302.812042	res             	446	112
 TN1473          	236.518631	res             	444	111
 TN0717          	60.455624	res             	442	111
 TN1448          	24.509974	res             	439	110
 TN0319          	1.451043	res             	437	109
 TN0507          	46.171944	res             	437	109
 TN1347          	49.468216	res             	436	109
 TN1461          	128.21106	res             	435	109
 TN0299          	0.580097	res             	433	108
 TN0711          	85.026802	res             	433	108
 TN0792          	142.320786	res             	433	108
 TN0794          	46.515854	res             	433	108
 TN1457          	152.544525	res             	429	107
 TN0292          	6.422624	res             	428	107
 TN0763          	86.175606	res             	428	107
 TN1360          	12.847214	res             	424	106
 TN1449          	66.732361	res             	422	106
 TN0291          	5.521354	res             	421	105
 TN1453          	89.125877	res             	421	105
 TN0725          	111.670197	res             	420	105
 TN0683          	177.323242	res             	418	105
 TN1064          	96.293289	res             	418	105
 TN1343          	37.984951	res             	416	104
 TN1455          	109.841164	res             	413	103
 TN0347          	0.147068	res             	410	103
 TN0757          	50.530941	res             	409	102
 TN1460          	146.886047	res             	409	102
 TN1436          	2.228688	res             	406	102
 TN0208          	4.825796	res             	405	101
 TN0290          	4.980764	res             	405	101
 TN0298          	0.433856	res             	403	101
 TN1340          	13.172057	res             	403	101
 TN0346          	0.156306	res             	402	101
 TN0749          	10.724871	res             	402	101
 TN1081          	95.937798	res             	402	101
 TN0722          	114.716377	res             	396	99
 TN0314          	0.853909	res             	395	99
 TN0191          	11.101081	res             	392	98
 TN0687          	204.31778	res             	391	98
 TN0791          	91.932739	res             	391	98
 TN0212          	7.863011	res             	389	97
 TN0329          	1.098071	res             	389	97
 TN0184          	4.632472	res             	384	96
 TN1026          	96.182816	res             	384	96
 TN1467          	194.178177	res             	384	96
 TN0193          	8.723786	res             	383	96
 TN0337          	0.457909	res             	383	96
 TN1082          	95.892723	res             	383	96
 TN0301          	0.841486	res             	381	95
 TN1065          	95.444328	res             	381	95
 TN1465          	206.647598	res             	380	95
 TN0788          	33.885605	res             	379	95
 TN1472          	257.699554	res             	379	95
 TN0209          	5.485902	res             	376	94
 TN1093          	95.705078	res             	374	94
 TN1474          	253.587814	res             	373	93
 TN0343          	0.462219	res             	370	93
 TN0304          	2.748824	res             	369	92
 TN1094          	95.574646	res             	369	92
 TN0335          	0.141336	res             	365	91
 TN0657          	2.727337	res             	362	91
 TN1438          	21.534431	res             	362	91
 TN1439          	4.714835	res             	358	90
 TN0012          	13.061971	res             	357	89
 TN1470          	225.139328	res             	355	89
 TN0316          	1.09227	res             	354	89
 TN0676          	392.029175	res             	354	89
 TN1025          	96.998604	res             	352	88
 TN1352          	48.775402	res             	352	88
 TN1440          	26.408417	res             	352	88
 TN1456          	115.502762	res             	352	88
 TN1339          	4.848819	res             	350	88
 TN1437          	37.564682	res             	348	87
 TN0753          	31.447903	res             	346	87
 TN1083          	95.062286	res             	346	87
 TN1068          	94.762672	res             	344	86
 TN1435          	0	res             	344	86
 TN0730          	114.074463	res             	341	85
 TN1445          	43.312225	res             	341	85
 TN1452          	118.666061	res             	339	85
 TN0289          	4.374807	res             	337	84
